CLI_ID,recommendedLIBELLE1,recommendedLIBELLE2,recommendedLIBELLE3,recommendedLIBELLE4,recommendedLIBELLE5,recommendedLIBELLE6,recommendedLIBELLE7,recommendedLIBELLE8,recommendedLIBELLE9,recommendedLIBELLE10
1490281,EDP EVIDENCE VAPO 100ML,GD JDM4 PAMPLEMOUSSE FL 200ML,VAO CERISE NOIRE 32 LUM4 3ML,LAIT PECHE PN2 FL50ML,ZERO TRACE SPRAY SPF 15 FL150,EDT FRAMBOISE PN 20ML,BAUME LEVR SENT FRAMBOISE 4G,GD GOMMANT VANILLE T200 ML,BRUME VITAMINEE PAMPLEMOUSSE ROSE FL50ML,RIDES+FERMETE NUIT P50ml SV40
13290776,"CRAY KHOL NOIR 81 LUM4 1,3gr",BLUSH SOLEIL CUIVRE ETE14 ANI LU4 2G,EDP COMME UNE EVIDENCE VAPO SAC15ML OS13,BAUME NOUR CACAO FRAMB NOEL COLL 4G,SVC PURETE SH 300 ML,HUILE IP6 FL150 PROT VEG,MASCARA LONG NOIR 01 CN3 8ML,UMAJ LAIT MUGUET FL 200ML,EYE LINER PRUNE06 CN3 2.5ML,CR JR PARF BIO.SPE AC.SENT.50ML
20163348,ILLUMI SCULPT CUIVR/DOR01 ETE14 CN3 15ML,VAO ORANGE SANGUINE 21 LUM4 3ML,FAP ENLUMINEUR B LANC NEIGE 2G LUM 4 VPM,AB SVA JAMBES D'ETE  T75 INTER,GELEE TEINT HALE MAT 02 AX/SO CN3 30ML,RIDES+ECLAT CR NUIT P50ml SV40,CORRECT A LA ROSE TT CLAIR CN3 5G,EYE LINER NOIR CN3 2.5ML,VAO NUANC TURQUOIS 56 IT/CO AOU14 L4 3ML,GLOSS SEXYPULP RGE SOMBRE 04 CN3 10ML
20200041,DOUCH GOMMANTE F ROUGES F200 ML,MASC SEXYPULP NOIR 01 CN3 9ML,"GLOSS PRALINE 71 LUM4 4,5ML",EDP EVIDENCE VAPO 100ML,BLUSH SOLEIL CUIVRE ETE14 ANI LU4 2G,MASCARA VOL VERTIGE BLEU CN3 9ML,SVC PURETE SH 300 ML,LAIT PECHE PN2 FL50ML,SVC PIEDS SOS P ECHAUF T50ML,RIDES+FERMETE NUIT P50ml SV40
20561854,GD JDM4 LAVANDIN DE PROVENCE 200ML,MSQ CRANBERRY BTE CROQUER T50,FDT 0/DEF BEIG200 CLAIR CN3 30,D LOTUS DU LAOS JDM3 200ML,"GLOSS PRALINE 71 LUM4 4,5ML",EAU MICELLAIRE HYDRATANTE 200ML,EDT EVIDENCE HOMME  VAPO 75ML,MASCARA VOL VERTIGE BLEU CN3 9ML,EDT  UN MATIN AU JARDIN  100ML  MUGUET,LAIT COCO PN2 FL50ML
20727324,"PORTE MINE YX ANTHRACITE CN3 0,3G",NACRES LIBRES ROSES CN3 3G,GELEE PROTECTYL APSOL T150,GD 200ML AMBRE NOIR,EDT FRAISE PN2 100ML VPM,GELEE HYDRAT YX HYDRA/VEG 15ML,HUILE IP6 FL150 PROT VEG,MASCARA LONG NOIR 01 CN3 8ML,BAUME LEVR SENT FRAMBOISE 4G,LAIT COCO PN2 FL50ML
20791601,CORRECT A LA ROSE TT CLAIR CN3 5G,CD JDM4 COTON  FL 200ML,"GLOSS PRALINE 71 LUM4 4,5ML",SVC PIEDS BAUME REP T50ml,SVC PURETE SH 300 ML,GEL NETT HYDRA VEG T125ML,UMAJ LAIT MUGUET FL 200ML,EDT FRAMBOISE PN 20ML,GD GOMMANT VANILLE T200 ML,LAIT COCO PN2 FL50ML
21046542,CRAYON LEVR NUDE/BEIGE CN3 1G,FAP DUO 2012 CN3 3G PRUNE ET TAUPE PDRE,RAL BRILL ROSE COCKTAIL32 CN3 3.5G,CREME MAINS FRUITS NOIRS T75 ML,RIDES+ECLAT CR NUIT P50ml SV40,VAO NUANC TURQUOIS 56 IT/CO AOU14 L4 3ML,MASCARA VOL VERTIGE BLEU CN3 9ML,GLOSS SEXYPULP RGE SOMBRE 04 CN3 10ML,MASCARA LONG NOIR 01 CN3 8ML,LAIT COCO PN2 FL50ML
21239163,PC TEINT BEIGE MOYEN  10G LUMINELLE 4,CRAYON SOURCILS CHATAIN CN3 1.1G,CREME MAINS FRUITS NOIRS T75 ML,MSQ CRANBERRY BTE CROQUER T50,CORRECT A LA ROSE TT CLAIR CN3 5G,BAUME TRAD DE HAM P150ml,GEL DEFATIG ENERGIE FL 50ML,MASCARA VOL VERTIGE BLEU CN3 9ML,"FAP MONO 2013 CN3  TAUPE  ROSE  2,5G",RIDES+FERMETE NUIT P50ml SV40
21351166,BAUME NOUR CACAO FRAMB NOEL COLL 4G,VAO NUANC TURQUOIS 56 IT/CO AOU14 L4 3ML,REPACK AR BIEN JOUR RC2 P 50ml,GD JDM LAVANDIN PROVENCE FL 200ML,GELEE HYDRAT YX HYDRA/VEG 15ML,VAO CERISE NOIRE 32 LUM4 3ML,MASCARA LONG NOIR 01 CN3 8ML,LAIT PECHE PN2 FL50ML,"FAP MONO 2013 CN3  TAUPE  ROSE  2,5G",SVC PIEDS SOS P ECHAUF T50ML
21497331,FDT 0/DEF BEIG200 CLAIR CN3 30,CD JDM4 COTON  FL 200ML,GD JDM LAVANDIN PROVENCE FL 200ML,VAO CERISE NOIRE 32 LUM4 3ML,HUILE IP6 FL150 PROT VEG,EDT FRAMBOISE PN 20ML,BRUME VITAMINEE PAMPLEMOUSSE ROSE FL50ML,"FAP MONO 2013 CN3  TAUPE  ROSE  2,5G",RIDES+FERMETE NUIT P50ml SV40,EDT UN MATIN AU JARDIN 100ML ROSE
21504227,"CRAY KHOL NOIR 81 LUM4 1,3gr",LAIT PARF F200 ML EVIDENCE,BLUSH SOLEIL CUIVRE ETE14 ANI LU4 2G,SVC PURETE SH 300 ML,GELEE HYDRAT YX HYDRA/VEG 15ML,CUBE DE BAIN MURE PN2 20G,BAUME LEVR SENT FRAMBOISE 4G,"FAP MONO 2013 CN3  TAUPE  ROSE  2,5G",SVC PIEDS SOS P ECHAUF T50ML,RIDES+FERMETE NUIT P50ml SV40
21514622,DOUCH GOMMANTE F ROUGES F200 ML,GD JDM4 PAMPLEMOUSSE FL 200ML,REPACK AR BIEN JOUR RC2 P 50ml,GELEE HYDRAT YX HYDRA/VEG 15ML,HUILE IP6 FL150 PROT VEG,MASCARA LONG NOIR 01 CN3 8ML,CR RESPLENDISS JR SPF20 SV50ml,CR JR PARF BIO.SPE AC.SENT.50ML,BRUME VITAMINEE PAMPLEMOUSSE ROSE FL50ML,"FAP MONO 2013 CN3  TAUPE  ROSE  2,5G"
69813934,GD JDM4 LAVANDIN DE PROVENCE 200ML,MSQ CRANBERRY BTE CROQUER T50,DOUCH GOMMANTE F ROUGES F200 ML,CD JDM4 COTON  FL 200ML,GD JDM4 PAMPLEMOUSSE FL 200ML,EDT EVIDENCE HOMME  VAPO 75ML,SVC EXFO GOMMAGE VEG T150ml,GD JDM LAVANDIN PROVENCE FL 200ML,SVC PURETE SH 300 ML,UMAJ LAIT MUGUET FL 200ML
71891681,EYE LINER NOIR CN3 2.5ML,REPACK AR BIEN JOUR RC2 P 50ml,SVC PURETE SH 300 ML,CUBE DE BAIN MURE PN2 20G,GLOSS SEXYPULP RGE SOMBRE 04 CN3 10ML,GEL NETT HYDRA VEG T125ML,GD GOMMANT VANILLE T200 ML,"FAP MONO 2013 CN3  TAUPE  ROSE  2,5G",SVC PIEDS SOS P ECHAUF T50ML,RIDES+FERMETE NUIT P50ml SV40
85057203,BLUSH SOLEIL CUIVRE ETE14 ANI LU4 2G,SVC EXFO GOMMAGE VEG T150ml,GLOSS SEXYPULP RGE SOMBRE 04 CN3 10ML,GEL NETT HYDRA VEG T125ML,CR RESPLENDISS JR SPF20 SV50ml,BAUME LEVR SENT FRAMBOISE 4G,GD GOMMANT VANILLE T200 ML,CR JR PARF BIO.SPE AC.SENT.50ML,SVC PIEDS SOS P ECHAUF T50ML,RIDES+FERMETE NUIT P50ml SV40
85841284,FDT 0/DEF BEIG200 CLAIR CN3 30,EDP EVIDENCE VAPO 100ML,SVC PIEDS BAUME REP T50ml,LAIT PARF F200 ML EVIDENCE,BLUSH SOLEIL CUIVRE ETE14 ANI LU4 2G,BD PN VANILLE FL50ML,EYE LINER NOIR CN3 2.5ML,EDP COMME UNE EVIDENCE VAPO SAC15ML OS13,SVC PURETE SH 300 ML,CUBE DE BAIN MURE PN2 20G
90822328,GEL LAVANT MAINS F200 FRUITS ROUGES,OMBRE+LINER LAPIS/LAZULI CN3 4ML,GD JDM4 LAVANDIN DE PROVENCE 200ML,RIDES+ECLAT CR NUIT P50ml SV40,EDP EVIDENCE VAPO 100ML,EDP COMME UNE EVIDENCE VAPO SAC15ML OS13,VAO CERISE NOIRE 32 LUM4 3ML,GLOSS SEXYPULP RGE SOMBRE 04 CN3 10ML,BAUME LEVR SENT FRAMBOISE 4G,GD GOMMANT VANILLE T200 ML
93806295,VAO RGE IMPRESSION 32 IT/CO AOU14 L4 3ML,VAO FUCHSIA 13 LUMINELLE4 3ML,LAIT PARF F200 ML EVIDENCE,EDP COMME UNE EVIDENCE VAPO SAC15ML OS13,REPACK AR BIEN JOUR RC2 P 50ml,VAO CERISE NOIRE 32 LUM4 3ML,GLOSS SEXYPULP RGE SOMBRE 04 CN3 10ML,MASCARA LONG NOIR 01 CN3 8ML,GEL NETT HYDRA VEG T125ML,BAUME LEVR SENT FRAMBOISE 4G
100023116,CD JDM4 COTON  FL 200ML,GD JDM4 PAMPLEMOUSSE FL 200ML,VAO FUCHSIA 13 LUMINELLE4 3ML,EDP COMME UNE EVIDENCE VAPO SAC15ML OS13,REPACK AR BIEN JOUR RC2 P 50ml,GD JDM LAVANDIN PROVENCE FL 200ML,GELEE HYDRAT YX HYDRA/VEG 15ML,EDT  UN MATIN AU JARDIN  100ML  MUGUET,BAUME LEVR SENT FRAMBOISE 4G,EYE LINER PRUNE06 CN3 2.5ML
100064590,LAIT PARF F200 ML EVIDENCE,BAUME NOUR CACAO FRAMB NOEL COLL 4G,REPACK AR BIEN JOUR RC2 P 50ml,CUBE DE BAIN MURE PN2 20G,GEL NETT HYDRA VEG T125ML,CR RESPLENDISS JR SPF20 SV50ml,EDT FRAMBOISE PN 20ML,EYE LINER PRUNE06 CN3 2.5ML,DEO JDM4 AMANDE FL 50 ML,RIDES+FERMETE NUIT P50ml SV40
126716008,EDP COMME UNE EVIDENCE VAPO SAC15ML OS13,BAUME NOUR CACAO FRAMB NOEL COLL 4G,MASCARA VOL VERTIGE BLEU CN3 9ML,GEL NETT HYDRA VEG T125ML,EDT  UN MATIN AU JARDIN  100ML  MUGUET,LAIT PECHE PN2 FL50ML,CR RESPLENDISS JR SPF20 SV50ml,EDT FRAMBOISE PN 20ML,DEO JDM4 AMANDE FL 50 ML,SVC PIEDS SOS P ECHAUF T50ML
131204016,GD JDM4 LAVANDIN DE PROVENCE 200ML,MASC SEXYPULP NOIR 01 CN3 9ML,BAUME TRAD DE HAM P150ml,BLUSH SOLEIL CUIVRE ETE14 ANI LU4 2G,EYE LINER NOIR CN3 2.5ML,GD JDM LAVANDIN PROVENCE FL 200ML,HUILE IP6 FL150 PROT VEG,GLOSS SEXYPULP RGE SOMBRE 04 CN3 10ML,GD GOMMANT VANILLE T200 ML,CR JR PARF BIO.SPE AC.SENT.50ML
169985247,EDT EVIDENCE HOMME  VAPO 75ML,BAUME TRAD DE HAM P150ml,VAO NUANC TURQUOIS 56 IT/CO AOU14 L4 3ML,REPACK AR BIEN JOUR RC2 P 50ml,GD JDM LAVANDIN PROVENCE FL 200ML,UMAJ LAIT MUGUET FL 200ML,BAUME LEVR SENT FRAMBOISE 4G,"FAP MONO 2013 CN3  TAUPE  ROSE  2,5G",DEO JDM4 AMANDE FL 50 ML,RIDES+FERMETE NUIT P50ml SV40
191914645,PC TEINT BEIGE MOYEN  10G LUMINELLE 4,CRAYON SOURCILS CHATAIN CN3 1.1G,GD 200ML AMBRE NOIR,GD GOMMANT FRAMBOISE T200 ML,GD JDM4 LAVANDIN DE PROVENCE 200ML,BD PN VANILLE FL50ML,CUBE DE BAIN MURE PN2 20G,GLOSS SEXYPULP RGE SOMBRE 04 CN3 10ML,CR RESPLENDISS JR SPF20 SV50ml,GD GOMMANT VANILLE T200 ML
195207210,NACRES LIBRES ROSES CN3 3G,RAL BRILL ROSE COCKTAIL32 CN3 3.5G,BOUCLES SHAMPOING SOIN 300ML SVC,GD JDM4 LAVANDIN DE PROVENCE 200ML,VAO FUCHSIA 13 LUMINELLE4 3ML,GD JDM LAVANDIN PROVENCE FL 200ML,GEL NETT HYDRA VEG T125ML,EDT FRAMBOISE PN 20ML,BRUME VITAMINEE PAMPLEMOUSSE ROSE FL50ML,DEO JDM4 AMANDE FL 50 ML
206111880,DOUCH GOMMANTE F ROUGES F200 ML,CD JDM4 COTON  FL 200ML,EDT EVIDENCE HOMME  VAPO 75ML,GEL DEFATIG ENERGIE FL 50ML,BLUSH SOLEIL CUIVRE ETE14 ANI LU4 2G,SVC EXFO GOMMAGE VEG T150ml,VAO CERISE NOIRE 32 LUM4 3ML,CUBE DE BAIN MURE PN2 20G,BAUME LEVR SENT FRAMBOISE 4G,CR JR PARF BIO.SPE AC.SENT.50ML
242424645,PORTE MINE BLEU FLASH 02 CN3 0.3G,SVC HYDRA 2EN1 ANTIREP Fl200ml,GD JDM4 LAVANDIN DE PROVENCE 200ML,BAUME TRAD DE HAM P150ml,LAIT PARF F200 ML EVIDENCE,BD PN VANILLE FL50ML,VAO NUANC TURQUOIS 56 IT/CO AOU14 L4 3ML,SVC PURETE SH 300 ML,VAO CERISE NOIRE 32 LUM4 3ML,CUBE DE BAIN MURE PN2 20G
243624087,BD PN VANILLE FL50ML,EYE LINER NOIR CN3 2.5ML,VAO NUANC TURQUOIS 56 IT/CO AOU14 L4 3ML,GELEE HYDRAT YX HYDRA/VEG 15ML,VAO CERISE NOIRE 32 LUM4 3ML,LAIT PECHE PN2 FL50ML,CR RESPLENDISS JR SPF20 SV50ml,ZERO TRACE SPRAY SPF 15 FL150,EYE LINER PRUNE06 CN3 2.5ML,EDT UN MATIN AU JARDIN 100ML ROSE
275493987,GD JDM4 PAMPLEMOUSSE FL 200ML,EAU MICELLAIRE HYDRATANTE 200ML,SVC PIEDS BAUME REP T50ml,LAIT PARF F200 ML EVIDENCE,SVC EXFO GOMMAGE VEG T150ml,BAUME NOUR LEV FRUITS NOIRS OS14 4G,CUBE DE BAIN MURE PN2 20G,EDT  UN MATIN AU JARDIN  100ML  MUGUET,LAIT COCO PN2 FL50ML,SVC PIEDS SOS P ECHAUF T50ML
300240190,RAL BRILL ROSE COCKTAIL32 CN3 3.5G,BOUCLES SHAMPOING SOIN 300ML SVC,CREME MAINS FRUITS NOIRS T75 ML,SVC HYDRA 2EN1 ANTIREP Fl200ml,GD JDM4 LAVANDIN DE PROVENCE 200ML,EDP EVIDENCE VAPO 100ML,EDP COMME UNE EVIDENCE VAPO SAC15ML OS13,BAUME NOUR CACAO FRAMB NOEL COLL 4G,ZERO TRACE SPRAY SPF 15 FL150,"FAP MONO 2013 CN3  TAUPE  ROSE  2,5G"
321933797,BLUSH SOLEIL CUIVRE ETE14 ANI LU4 2G,EDP COMME UNE EVIDENCE VAPO SAC15ML OS13,BAUME NOUR CACAO FRAMB NOEL COLL 4G,REPACK AR BIEN JOUR RC2 P 50ml,CUBE DE BAIN MURE PN2 20G,MASCARA LONG NOIR 01 CN3 8ML,GEL NETT HYDRA VEG T125ML,EDT  UN MATIN AU JARDIN  100ML  MUGUET,LAIT PECHE PN2 FL50ML,LAIT COCO PN2 FL50ML
336948609,GELEE PROTECTYL APSOL T150,CORRECT A LA ROSE TT CLAIR CN3 5G,LAIT PARF F200 ML EVIDENCE,BLUSH SOLEIL CUIVRE ETE14 ANI LU4 2G,BAUME NOUR CACAO FRAMB NOEL COLL 4G,REPACK AR BIEN JOUR RC2 P 50ml,GELEE HYDRAT YX HYDRA/VEG 15ML,EDT  UN MATIN AU JARDIN  100ML  MUGUET,UMAJ LAIT MUGUET FL 200ML,GD GOMMANT VANILLE T200 ML
354587579,"GLOSS PRALINE 71 LUM4 4,5ML",EDP EVIDENCE VAPO 100ML,GD JDM4 PAMPLEMOUSSE FL 200ML,VAO FUCHSIA 13 LUMINELLE4 3ML,SVC PURETE SH 300 ML,GEL NETT HYDRA VEG T125ML,CR RESPLENDISS JR SPF20 SV50ml,BAUME LEVR SENT FRAMBOISE 4G,DEO JDM4 AMANDE FL 50 ML,EDT UN MATIN AU JARDIN 100ML ROSE
355512954,MASC WATER NOIR 01 AX/SO CN3 9ML,"GLOSS PRALINE 71 LUM4 4,5ML",VAO FUCHSIA 13 LUMINELLE4 3ML,EYE LINER NOIR CN3 2.5ML,EDP COMME UNE EVIDENCE VAPO SAC15ML OS13,MASCARA VOL VERTIGE BLEU CN3 9ML,GD JDM LAVANDIN PROVENCE FL 200ML,"FAP MONO 2013 CN3  TAUPE  ROSE  2,5G",DEO JDM4 AMANDE FL 50 ML,RIDES+FERMETE NUIT P50ml SV40
356832238,EDT FRAISE PN2 100ML VPM,RIDES+ECLAT CR NUIT P50ml SV40,MSQ CRANBERRY BTE CROQUER T50,CD JDM4 COTON  FL 200ML,EDP EVIDENCE VAPO 100ML,REPACK AR BIEN JOUR RC2 P 50ml,CUBE DE BAIN MURE PN2 20G,GLOSS SEXYPULP RGE SOMBRE 04 CN3 10ML,UMAJ LAIT MUGUET FL 200ML,LAIT PECHE PN2 FL50ML
356998310,VAO FUCHSIA 13 LUMINELLE4 3ML,BAUME NOUR CACAO FRAMB NOEL COLL 4G,BAUME NOUR LEV FRUITS NOIRS OS14 4G,SVC PURETE SH 300 ML,VAO CERISE NOIRE 32 LUM4 3ML,MASCARA LONG NOIR 01 CN3 8ML,LAIT PECHE PN2 FL50ML,CR RESPLENDISS JR SPF20 SV50ml,EDT FRAMBOISE PN 20ML,CR JR PARF BIO.SPE AC.SENT.50ML
358464805,MSQ CRANBERRY BTE CROQUER T50,DOUCH GOMMANTE F ROUGES F200 ML,EDP EVIDENCE VAPO 100ML,LAIT PARF F200 ML EVIDENCE,GD JDM LAVANDIN PROVENCE FL 200ML,VAO CERISE NOIRE 32 LUM4 3ML,LAIT ROSE FP FL200ML,LAIT PECHE PN2 FL50ML,GD GOMMANT VANILLE T200 ML,BRUME VITAMINEE PAMPLEMOUSSE ROSE FL50ML
359489151,LAIT PARF F200 ML EVIDENCE,EDP COMME UNE EVIDENCE VAPO SAC15ML OS13,VAO NUANC TURQUOIS 56 IT/CO AOU14 L4 3ML,GD JDM LAVANDIN PROVENCE FL 200ML,VAO CERISE NOIRE 32 LUM4 3ML,GLOSS SEXYPULP RGE SOMBRE 04 CN3 10ML,LAIT PECHE PN2 FL50ML,CR RESPLENDISS JR SPF20 SV50ml,BAUME LEVR SENT FRAMBOISE 4G,GD GOMMANT VANILLE T200 ML
360340862,CD JDM4 COTON  FL 200ML,"GLOSS PRALINE 71 LUM4 4,5ML",EDP EVIDENCE VAPO 100ML,EDT EVIDENCE HOMME  VAPO 75ML,EDP COMME UNE EVIDENCE VAPO SAC15ML OS13,BAUME NOUR LEV FRUITS NOIRS OS14 4G,GELEE HYDRAT YX HYDRA/VEG 15ML,CUBE DE BAIN MURE PN2 20G,GLOSS SEXYPULP RGE SOMBRE 04 CN3 10ML,EYE LINER PRUNE06 CN3 2.5ML
360778261,"GLOSS PRALINE 71 LUM4 4,5ML",EDT EVIDENCE HOMME  VAPO 75ML,LAIT PARF F200 ML EVIDENCE,EYE LINER NOIR CN3 2.5ML,BAUME NOUR CACAO FRAMB NOEL COLL 4G,LAIT ROSE FP FL200ML,EDT  UN MATIN AU JARDIN  100ML  MUGUET,BAUME LEVR SENT FRAMBOISE 4G,BRUME VITAMINEE PAMPLEMOUSSE ROSE FL50ML,RIDES+FERMETE NUIT P50ml SV40
